Filename,255_Pixel_Ratio,Percentage,Saved
L2016321.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016322.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.040445,4.04,Yes
L2016323.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.158704,15.87,Yes
L2016324.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412492,41.25,No
L2016325.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016326.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.192967,19.30,Yes
L2016327.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.288787,28.88,Yes
L2016328.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.411824,41.18,No
L2016329.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016330.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412539,41.25,No
L2016331.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.300919,30.09,No
L2016332.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.372054,37.21,No
L2016333.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016334.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.206721,20.67,Yes
L2016335.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.183751,18.38,Yes
L2016336.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016337.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412430,41.24,No
L2016338.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412577,41.26,No
L2016339.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.397620,39.76,No
L2016340.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016341.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.402007,40.20,No
L2016342.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.310976,31.10,No
L2016343.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412590,41.26,No
L2016344.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016345.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.230319,23.03,Yes
L2016346.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016347.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.407959,40.80,No
L2016348.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016349.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.199315,19.93,Yes
L2016350.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.120410,12.04,Yes
L2016351.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.383226,38.32,No
L2016352.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016353.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.300351,30.04,No
L2016354.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.217933,21.79,Yes
L2016355.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.282065,28.21,Yes
L2016356.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016357.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.408850,40.89,No
L2016358.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.373659,37.37,No
